person_id,screen_name,name,tweet,intent,created_at,status_url
1348223959,zekegonzalez22,Zeke Gonzalez," Resident Evil: The Final Chapter aka the massive contradiction sandwich!
https://t.co/yrCrNw90uj https://t.co/d4qI4BrS6w",1,2017-06-14 17:39:54,https://twitter.com/zekegonzalez22/status/875045142901731328
850490654,JockeUH,JockePokke," Resident Evil: The Final Chapter aka the massive contradiction sandwich!
https://t.co/yrCrNw90uj https://t.co/d4qI4BrS6w",1,2017-06-14 17:36:35,https://twitter.com/JockeUH/status/875044310940622848
46847132,TFfan80,Brian Wenzloff,I'm giving away something for you on @Listia: Resident Evil The Final Chapter Digital H. Get it here - https://t.co/zsVLxiHy1X,0,2017-06-14 17:36:14,https://twitter.com/TFfan80/status/875044219861295106
129959464,timjschilling,Tim Schilling,@thedarkhours But Resident Evil doesn't know what it is either,1,2017-06-14 17:30:20,https://twitter.com/timjschilling/status/875042736629350400
18846572,thedarkhours,Grey,Dark Universe wishes it could be Resident Evil,1,2017-06-14 17:29:37,https://twitter.com/thedarkhours/status/875042556425457665
844364663672492032,JalarryicUltra,jalarryic collier,@NFL got a picture of cindy mcphearson from the boondocks a teen dressing as jill valentine from resident evil in a pink battlesuit.,0,2017-06-14 17:25:20,https://twitter.com/JalarryicUltra/status/875041477897969664
1966830505,DeeJayMods,LordDeeJay,[ E3 2017 TRIBUTE ] TESTING New Rooms STORY MODE Resident evil RE(7)make + MERCENARIES !!!!!: https://t.co/Dy5BsozwPK via @YouTube,0,2017-06-14 17:24:35,https://twitter.com/DeeJayMods/status/875041288286076932
844364663672492032,JalarryicUltra,jalarryic collier,@EASPORTSFIFA make a picture of cindy mcphearson from the boondocks a teen dressing as jill valentine from resident evil in a battlesuit.,0,2017-06-14 17:23:27,https://twitter.com/JalarryicUltra/status/875041001995456512
2966296359,HolyNosebleed,Brian K. Pittman," Resident Evil: The Final Chapter aka the massive contradiction sandwich!
https://t.co/yrCrNw90uj https://t.co/d4qI4BrS6w",1,2017-06-14 17:23:08,https://twitter.com/HolyNosebleed/status/875040922874126337
29122042,jrgllntp,~~~~~~,@DocCLAR Wtf are you talking about bro. This isn't a resident evil movie. All brown people aren't zombies waiting t… https://t.co/gtFZGoO0L7,1,2017-06-14 17:15:59,https://twitter.com/jrgllntp/status/875039123655991296
4377443008,TatePlays,Tate,Resident Evil Part 14 / I'm on a Boat B@#$!!!: https://t.co/fa8uNGMp88 via @YouTube,0,2017-06-14 17:15:40,https://twitter.com/TatePlays/status/875039045423943680
4856282074,spoole_ebooks,Spoole Ebooks,This was a Resident Evil,1,2017-06-14 17:13:40,https://twitter.com/spoole_ebooks/status/875038541583192065
4781317544,jacknhacktech,Jacknhacktechtips,Resident Evil 7 - Madhouse Mode - Infinite Ammo - Full Game - Live Stream: https://t.co/ztBvttGfwg via @YouTube,0,2017-06-14 17:13:28,https://twitter.com/jacknhacktech/status/875038489720610818
1140187327,AdventureDriven,Matthew Orsini,@christopherrip Yes it was silent hill but I'm an idiot lol was thinking of pause room in resident evil. Both houses were major let downs,0,2017-06-14 17:09:04,https://twitter.com/AdventureDriven/status/875037383007272961
2256961286,Nemesis3561uk,Nemesis3561uk,Tonight 8pm i  carry on with resident evil 7 https://t.co/uMEMipYyLj https://t.co/rP8WbS0Hhe,0,2017-06-14 17:08:14,https://twitter.com/Nemesis3561uk/status/875037176748273667
865713678435438592,PushTheCore,Push The Core Gaming,"Resident Evil 7 - Let's Play - ""Poop and Vomit Stories are Fun!"": https://t.co/grisXbSErZ via @YouTube",0,2017-06-14 17:05:04,https://twitter.com/PushTheCore/status/875036375900446720
1252489657,DouchebagBatman,Steven,"@RockieWarAntz Resident Evil flicks are good, not great, dumb action movies. Not Face/Off level but better than the… https://t.co/Oc5HnQ2c72",0,2017-06-14 17:04:02,https://twitter.com/DouchebagBatman/status/875036118978183168
2848451205,Leon_Game_Fr,Leon Game Fr,"""RESIDENT EVIL 7 - EPISODE 3 (LIVE)"" : https://t.co/QVt0C35OH4 via @YouTube",0,2017-06-14 17:03:04,https://twitter.com/Leon_Game_Fr/status/875035873523490817
